xPos,yPos
0.0,0.0
6.123233995736766e-17,1.0
1.2246467991473532e-16,2.0
1.8369701987210297e-16,3.0
2.4492935982947064e-16,4.0
3.061616997868383e-16,5.0
3.67394039744206e-16,6.0
4.2862637970157366e-16,7.0
4.898587196589413e-16,8.0
5.51091059616309e-16,9.0
6.123233995736766e-16,10.0
6.735557395310443e-16,11.0
7.34788079488412e-16,12.0
7.960204194457796e-16,13.0
8.572527594031473e-16,14.0
9.18485099360515e-16,15.0
9.797174393178826e-16,16.0
1.0409497792752501e-15,17.0
1.1021821192326177e-15,18.0
1.1634144591899853e-15,19.0
1.2246467991473529e-15,20.0
1.2858791391047204e-15,21.0
1.347111479062088e-15,22.0
1.4083438190194556e-15,23.0
1.4695761589768232e-15,24.0
1.5308084989341907e-15,25.0
1.5920408388915583e-15,26.0
1.6532731788489259e-15,27.0
1.7145055188062935e-15,28.0
1.775737858763661e-15,29.0
1.8369701987210288e-15,30.0
1.8982025386783964e-15,31.0
1.959434878635764e-15,32.0
2.0206672185931315e-15,33.0
2.081899558550499e-15,34.0
2.1431318985078667e-15,35.0
2.2043642384652342e-15,36.0
2.265596578422602e-15,37.0
2.3268289183799694e-15,38.0
2.388061258337337e-15,39.0
2.4492935982947045e-15,40.0
2.510525938252072e-15,41.0
2.5717582782094397e-15,42.0
2.6329906181668073e-15,43.0
2.694222958124175e-15,44.0
2.7554552980815424e-15,45.0
2.81668763803891e-15,46.0
2.8779199779962776e-15,47.0
2.939152317953645e-15,48.0
3.0003846579110127e-15,49.0
3.0616169978683803e-15,50.0
3.122849337825748e-15,51.0
3.1840816777831154e-15,52.0
3.245314017740483e-15,53.0
3.3065463576978506e-15,54.0
3.367778697655218e-15,55.0
3.4290110376125857e-15,56.0
3.4902433775699533e-15,57.0
3.551475717527321e-15,58.0
3.6127080574846884e-15,59.0
3.673940397442056e-15,60.0
3.7351727373994236e-15,61.0
3.796405077356791e-15,62.0
3.857637417314159e-15,63.0
3.918869757271526e-15,64.0
3.980102097228894e-15,65.0
4.0413344371862615e-15,66.0
4.102566777143629e-15,67.0
4.163799117100997e-15,68.0
4.225031457058364e-15,69.0
4.286263797015732e-15,70.0
4.347496136973099e-15,71.0
4.408728476930467e-15,72.0
4.4699608168878345e-15,73.0
4.531193156845202e-15,74.0
4.59242549680257e-15,75.0
4.653657836759937e-15,76.0
4.714890176717305e-15,77.0
4.776122516674672e-15,78.0
4.83735485663204e-15,79.0
4.8985871965894075e-15,80.0
4.959819536546775e-15,81.0
5.021051876504143e-15,82.0
5.08228421646151e-15,83.0
5.143516556418878e-15,84.0
5.204748896376245e-15,85.0
5.265981236333613e-15,86.0
5.3272135762909805e-15,87.0
5.388445916248348e-15,88.0
5.449678256205716e-15,89.0
5.510910596163083e-15,90.0
5.572142936120451e-15,91.0
5.633375276077818e-15,92.0
5.694607616035186e-15,93.0
5.7558399559925535e-15,94.0
5.817072295949921e-15,95.0
5.878304635907289e-15,96.0
5.939536975864656e-15,97.0
6.000769315822024e-15,98.0
6.0620016557793914e-15,99.0
6.123233995736759e-15,100.0
6.1844663356941266e-15,101.0
6.245698675651494e-15,102.0
6.306931015608862e-15,103.0
6.368163355566229e-15,104.0
6.429395695523597e-15,105.0
6.4906280354809644e-15,106.0
6.551860375438332e-15,107.0
6.6130927153956996e-15,108.0
6.674325055353067e-15,109.0
6.735557395310435e-15,110.0
6.796789735267802e-15,111.0
6.85802207522517e-15,112.0
6.9192544151825374e-15,113.0
6.980486755139905e-15,114.0
7.0417190950972726e-15,115.0
7.10295143505464e-15,116.0
7.164183775012008e-15,117.0
