xPos,yPos
320.0,192.0
64.0,144.0
64.0,192.0
128.0,240.0
-128.0,-144.0
0.0,144.0
0.0,-240.0
192.0,-96.0
-128.0,48.0
-256.0,-96.0
-128.0,-96.0
-256.0,-240.0
256.0,-48.0
-320.0,48.0
-64.0,-144.0
-192.0,144.0
-256.0,144.0
256.0,-96.0
-192.0,-240.0
192.0,-144.0
256.0,0.0
192.0,192.0
128.0,-240.0
64.0,96.0
-64.0,-96.0
256.0,240.0
-192.0,96.0
320.0,144.0
320.0,48.0
192.0,48.0
320.0,-240.0
-320.0,240.0
-320.0,-192.0
128.0,96.0
256.0,144.0
0.0,0.0
-128.0,240.0
-256.0,192.0
-128.0,0.0
-128.0,192.0
-256.0,-144.0
0.0,192.0
256.0,-144.0
-256.0,0.0
64.0,-48.0
-128.0,-48.0
0.0,48.0
256.0,-240.0
64.0,48.0
320.0,-192.0
256.0,48.0
-320.0,-96.0
320.0,0.0
64.0,-144.0
128.0,144.0
-64.0,-240.0
320.0,-48.0
128.0,192.0
-320.0,-144.0
320.0,-96.0
64.0,-96.0
128.0,-144.0
-128.0,144.0
-192.0,240.0
320.0,240.0
-256.0,-192.0
-192.0,-96.0
-320.0,144.0
-64.0,0.0
128.0,0.0
192.0,96.0
-192.0,48.0
-128.0,-240.0
320.0,96.0
-128.0,-192.0
256.0,96.0
128.0,48.0
0.0,96.0
0.0,-144.0
256.0,-192.0
0.0,-96.0
128.0,-48.0
192.0,-240.0
-320.0,192.0
-256.0,-48.0
192.0,-48.0
-192.0,0.0
64.0,-192.0
192.0,144.0
128.0,-192.0
0.0,-192.0
-256.0,240.0
0.0,240.0
-320.0,96.0
320.0,-144.0
-64.0,144.0
64.0,0.0
-64.0,-48.0
-320.0,-48.0
-64.0,240.0
0.0,-48.0
-64.0,96.0
192.0,240.0
-192.0,-192.0
-320.0,0.0
-64.0,192.0
-128.0,96.0
128.0,-96.0
-64.0,-192.0
-256.0,48.0
-64.0,48.0
-320.0,-240.0
64.0,240.0
192.0,0.0
64.0,-240.0
-192.0,-144.0
256.0,192.0
-256.0,96.0
192.0,-192.0
-192.0,-48.0
-192.0,192.0
